"Species" "scientificName" "taxonRank" "GBIF_status" "GBIF_accepted" "Genus" "Family" "Order" "Class" "Phylum" "Group" "Source" "originCH" "originEUR" "swissRedListCategory" "europeanRegionalRedListCategory" "iucnRedListCategory" "EcoTer" "EcoFresh" "EcoMar" "Fos" "Ter" "Aqu" "Arb" "Aer" "Habitat_water" "Habitat_wetlands" "Habitat_rocks" "Habitat_grassland" "Habitat_forests" "Habitat_deciduous" "Habitat_coniferous" "Habitat_mixed" "Habitat_pioneer" "Habitat_urban" "Habitat_green_urban" "Habitat_agricultural" "Habitat_bushes" "Habitat_transitional" "Habitat_heathland" "Habitat_sand" "RangeSize_km2" "Growth" "Life_form" "Life_strategy" "Epiphyte" "Seta_caps" "Peristome" "Rhizoids" "Perm_proto" "Mating_type" "Sporophyte_freq" "Gen_length_y" "Seta_max_len_mm" "Gam_size_mm" "Spore_size_µm" "Veg_propagules" "Vp_max_size_µm" "Vp_gem" "Vp_tub" "Vp_bul" "Vp_lea" "vp_bra" "Vp_freq" "ROCKbet_substr" "WETsb_substr" "DRYsb_substr" "TUFAsb_substr" "CalROCKsb_substr" "CalrWETsb_substr" "CalrDRYsb_substr" "SilROCKsb_substr" "SilrWETsb_substr" "SilrDRYsb_substr" "HUMUSbet_substr" "HUMUSsb_substr" "BARKbet_substr" "BARKsb_substr" "DEADWbet_substr" "DEADWsb_substr" "nWOODYbet_substr" "nWOODYsb_substr" "ANIMALbet_substr" "ANIMALsb_substr" "MUDsb_substr" "SPECIALsb_substr" "EIVbet_Moisture" "EIVsb_Moisture" "EIVbet_pH" "EIVsb_pH" "EIVbet_Nutrients" "EIVbet_Na" "EIVbet_Temp" "EIVsb_Temp" "EIVbet_Light" "EIVsb_Light" "AnnuMeanTemp" "AnnuPrecip" "Elevation_low" "Elevation" "Elevation_up" "MISSING_ALL_TRAITS"
"Entosthodon kroonkurk" "Entosthodon kroonkurk Dirkse & Brugués" "SPECIES" "accepted" "Entosthodon kroonkurk Dirkse & Brugués" "Entosthodon" "Funariaceae" "Funariales" "Bryopsida" "Bryophyta" "Bryophytes" "EEA" NA "Yes" NA "LC" "LEAST_CONCERN" 1 0 NA NA 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1860.4242796701 "acrocarpous" "turf" "annual_shuttle" 0 "erect" 1 1 0 "monoicous" "common" 3.3 6.43 1.5 23 0 513 0 0 0 0 0 "common" 0 1.16 15.44 0.12 0.88 1.32 6.68 0.3 0.08 0.92 1 0.28 0 0.4 0 0.52 0 0 0 0 0.16 0.24 4.28 1.16 7.16 4.2 4.16 0 8.16 4.68 8.32 3.96 18.25 370.7 50 475 900 "NO"
"Entosthodon mouretii" "Entosthodon mouretii (Corb.) Jelenc" "SPECIES" "accepted" "Entosthodon mouretii (Corb.) Jelenc" "Entosthodon" "Funariaceae" "Funariales" "Bryopsida" "Bryophyta" "Bryophytes" "EEA" NA "No" NA "NT" NA 1 0 NA NA 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 11642.7521663775 "acrocarpous" "turf" "annual_shuttle" 0 "erect" 1 1 0 "monoicous" "common" 3.3 5.72 6.5 25.5 0 478.64 0 0 0 0 0 "common" 0 0.16 4.32 0 0 0.12 0.6 0 0 0.16 1 0 0 0.16 0 0 0 0 0 0 0.04 0.04 4.92 2 7.12 4.04 3.52 0.04 8.04 4.72 8.4 4.32 14.75 876.9 30 415 800 "NO"
"Entosthodon muhlenbergii" "Entosthodon muhlenbergii (Turner) Fife" "SPECIES" "accepted" "Entosthodon muhlenbergii (Turner) Fife" "Entosthodon" "Funariaceae" "Funariales" "Bryopsida" "Bryophyta" "Bryophytes" "InfoSpecies" "INN" "No" "EN" "NT" "CRITICALLY_ENDANGERED" 1 0 NA NA 1 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 43922.3713002762 "acrocarpous" "turf" "annual_shuttle" 0 "erect" 1 1 0 "monoicous" "common" 3.3 11 5 23 0 267.32 0 0 0 0 0 "common" 1 0 13 0 0 0 2 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 5 1 8 5 3 0 6 4 9 5 9.75 756.8 30 415 800 "NO"
"Entosthodon obtusus" "Entosthodon obtusus (Hedw.) Lindb." "SPECIES" "accepted" "Entosthodon obtusus (Hedw.) Lindb." "Entosthodon" "Funariaceae" "Funariales" "Bryopsida" "Bryophyta" "Bryophytes" "InfoSpecies" NA "No" "CR" "LC" "VULNERABLE" 1 0 NA NA 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 158639.678558362 "acrocarpous" "turf" "annual_shuttle" 0 "erect" 1 1 0 "monoicous" "common" 3.3 6 5 34 0 224.16 0 0 0 0 0 "common" 1 1 4 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 6 3 4 3 3 0 4 4 8 3 9.55 850.8 0 500 1000 "NO"
"Entosthodon pulchellus" "Entosthodon pulchellus (H.Philib.) Brugués" "SPECIES" "accepted" "Entosthodon pulchellus (H.Philib.) Brugués" "Entosthodon" "Funariaceae" "Funariales" "Bryopsida" "Bryophyta" "Bryophytes" "InfoSpecies" "INN" "No" "EN" "LC" NA 1 0 NA NA 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 20750.3195498318 "acrocarpous" "turf" "annual_shuttle" 0 "erect" 1 1 0 "monoicous" "common" 3.3 8 5 24 0 654.2 0 0 0 0 0 "common" 0 0 6 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 5 2 8 4 4 0 8 4 8 4 11.65 790.3 5 1302.5 2600 "NO"
"Entosthodon schimperi" "Entosthodon schimperi Brugués" "SPECIES" "accepted" "Entosthodon schimperi Brugués" "Entosthodon" "Funariaceae" "Funariales" "Bryopsida" "Bryophyta" "Bryophytes" "EEA" NA "No" NA "NT" NA 1 0 NA NA 1 0 0 0 0 0 0 1 0 0 0 0 1 1 0 0 0 0 0 0 14374.4323831997 "acrocarpous" "turf" "annual_shuttle" 0 "erect" 1 1 0 "monoicous" "common" 3.3 6.46 4 27.5 0 485.12 0 0 0 0 0 "common" 0 1.24 15.66 0.04 0.96 2.12 8.8 0.4 0.4 2.72 1 0.44 0 0.48 0 1.64 0 0 0 0 0.12 0.52 4.16 1.32 7.16 4.52 3.96 0 8.12 4.76 8.44 4.52 16.55 555.6 5 502.5 1000 "NO"
"Ephemerum cohaerens" "Ephemerum cohaerens (Hedw.) Hampe" "SPECIES" "accepted" "Ephemerum cohaerens (Hedw.) Hampe" "Ephemerum" "Ephemeraceae" "Dicranales" "Bryopsida" "Bryophyta" "Bryophytes" "SPEED2ZERO" "INN" "No" "EN" "VU" NA 1 0 NA NA 1 1 0 0 1 1 0 0 0 0 0 0 1 1 0 1 0 0 0 0 143355.760146483 "acrocarpous" "annual" "annual_shuttle" 0 "erect" 0 1 1 "both" "common" 3.3 5.48 1.75 65 0 662.48 0 0 0 0 0 "common" 0 21 2 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 7 3 5 3.6 4 0 8 4 9 4 9.85 914.5 0 500 1000 "NO"
"Ephemerum crassinervium" "Ephemerum crassinervium (Schwägr.) Hampe" "SPECIES" "accepted" "Ephemerum crassinervium (Schwägr.) Hampe" "Ephemerum" "Ephemeraceae" "Pottiales" "Bryopsida" "Bryophyta" "Bryophytes" "EEA" NA "No" NA "NT" NA 1 0 NA NA 1 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 22284.2590038785 "acrocarpous" "turf" "annual_shuttle" 0 "erect" 1 1 0 "monoicous" "common" 3.3 3.64 2 65 0 437.6 0 0 0 0 0 "common" 0 2.88 24.4 0.12 0.94 0.88 3.6 0.28 0.08 0.64 1 0.4 0 0.88 0 1.12 0 0.04 0 0 0.04 0.12 6 2.12 6 4 4.12 0.64 7 4.48 9 4.28 9.85 743.3 15 187.5 360 "NO"
"Ephemerum minutissimum" "Ephemerum minutissimum Lindb." "SPECIES" "synonym" "Ephemerum serratum (Schreb. ex Hedw.) Hampe" "Ephemerum" "Ephemeraceae" "Dicranales" "Bryopsida" "Bryophyta" "Bryophytes" "SPEED2ZERO" "INN" "No" "LC" "LC" "ENDANGERED" 1 0 NA NA 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 112973.210946758 "acrocarpous" "turf" "annual_shuttle" 0 "erect" 1 1 0 "monoicous" "common" 3.3 4.22 1.8 50 0 440.96 0 0 0 0 0 "common" 0 14 66.6666666666667 0 0 0 0 2 0 0 1 2 0 0 0 1 0 0 0 0 0 0 6 3 4 3.12 4 0 6 4 7 4 8.65 778.2 0 0 0 "NO"
"Ephemerum recurvifolium" "Ephemerum recurvifolium (Dicks.) Boulay" "SPECIES" "accepted" "Ephemerum recurvifolium (Dicks.) Boulay" "Ephemerum" "Ephemeraceae" "Dicranales" "Bryopsida" "Bryophyta" "Bryophytes" "InfoSpecies" "INN" "No" "CR" "NT" "NEAR_THREATENED" 1 0 NA NA 1 0 1 0 0 0 0 1 0 0 0 0 1 1 1 1 0 0 0 0 71116.4190055119 "acrocarpous" "turf" "annual_shuttle" 0 "erect" 1 1 0 "monoicous" "common" 3.3 5.25 1.5 40 0 576.8 0 0 0 0 0 "common" 0 3 8 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 5 3 7 4.52 4 0 6 4 8 4 9.65 720 0 500 1000 "NO"
"Ephemerum serratum" "Ephemerum serratum (Schreb. ex Hedw.) Hampe" "SPECIES" "accepted" "Ephemerum serratum (Schreb. ex Hedw.) Hampe" "Ephemerum" "Ephemeraceae" "Dicranales" "Bryopsida" "Bryophyta" "Bryophytes" "SPEED2ZERO" "INN" "No" "LC" "LC" "ENDANGERED" 1 0 NA NA 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 264552.201962269 "acrocarpous" "turf" "annual_shuttle" 0 "erect" 1 1 0 "monoicous" "common" 3.3 3.76 2.2 65 0 442.48 0 0 0 0 0 "common" 0 14 66.6666666666667 0 0 0 0 2 0 0 1 2 0 0 0 1 0 0 0 0 0 0 6 3 5 3.24 4 0 5 4 7 4 5.75 728 0 0 0 "NO"
"Ephemerum spinulosum" "Ephemerum spinulosum Bruch & Schimp." "SPECIES" "accepted" "Ephemerum spinulosum Bruch & Schimp." "Ephemerum" "Ephemeraceae" "Pottiales" "Bryopsida" "Bryophyta" "Bryophytes" "EEA" NA "No" NA "DD" NA 1 0 NA NA 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5918.43699669523 "acrocarpous" "turf" "annual_shuttle" 0 "erect" 1 1 0 "monoicous" "common" 3.3 4.28 2.2 70 0 524.4 0 0 0 0 0 "common" 0 1.52 9.42 0.04 0.44 0.28 0.88 0.12 0 0.24 1 0.04 0 0.12 0 0.08 0 0 0 0 0.16 0.08 5.68 2.2 6 4 4.16 0 8.64 4.72 7 4.12 13.75 978.7 20 320 620 "NO"
"Epipterygium tozeri" "Epipterygium tozeri (Grev.) Lindb." "SPECIES" "accepted" "Epipterygium tozeri (Grev.) Lindb." "Epipterygium" "Mniaceae" "Bryales" "Bryopsida" "Bryophyta" "Bryophytes" "InfoSpecies" "INN" "No" "VU" "LC" NA 1 0 NA NA 1 1 1 0 1 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 167205.45284666 "acrocarpous" "turf" "colonist" 0 "erect" 1 1 0 "dioicous" "occasional" 6.7 4.6 5 17 1 313.2 0 1 1 0 0 "common" 1 2 2 0 0 0 0 3 2 0 1 0 0 0 0 0 0 0 0 0 0 0 5 3 6 2 3.76 0 8 5 4 2 11.65 859.7 0 0 0 "NO"
"Eremonotus myriocarpus" "Eremonotus myriocarpus (Carrington) Lindb. & Kaal." "SPECIES" "accepted" "Eremonotus myriocarpus (Carrington) Lindb. & Kaal." "Eremonotus" "Jungermanniaceae" "Jungermanniales" "Jungermanniopsida" "Bryophyta" "Bryophytes" "SPEED2ZERO" "INN" "No" "LC" "NT" "LEAST_CONCERN" 1 0 NA NA 1 0 1 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 106561.729186192 "foliose" "mat" "shortLived_shuttle" 0 "erect" 0 1 0 "dioicous" "occasional" 6.7 7.7 8 12 0 514.64 0 0 0 0 0 "common" 1 0 0 0 0 0 2 4 33 52 1 1 0 0 0 0 1 2 0 0 0 1 8 4 5 3 4 0 2 3 5 3 1.95 1492.8 50 1250 2450 "NO"
"Eucladium verticillatum" "Eucladium verticillatum (With.) Bruch & Schimp." "SPECIES" "accepted" "Eucladium verticillatum (With.) Bruch & Schimp." "Eucladium" "Pottiaceae" "Dicranales" "Bryopsida" "Bryophyta" "Bryophytes" "SPEED2ZERO" "INN" "No" "LC" "LC" "ENDANGERED" 1 0 NA NA 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 186946.188346387 "acrocarpous" "turf" "perennial" 0 "erect" 1 1 0 "dioicous" "occasional" 16.7 14.004 64.17 13 1 513.04 1 0 0 0 0 "common" 1 4 3.5 142 5 72 15 1 0 0 1 1 0 0 0 1 0 0 0 3 0 0 7 5 9 5 5 0 7 4 5 2 7.75 701.5 0 0 0 "NO"
"Eurhynchiastrum diversifolium" "Eurhynchiastrum diversifolium (Schimp.) J.Guerra" "SPECIES" "accepted" "Eurhynchiastrum diversifolium (Schimp.) J.Guerra" "Eurhynchiastrum" "Brachytheciaceae" "Hypnales" "Bryopsida" "Bryophyta" "Bryophytes" "InfoSpecies" "INN" NA "LC" NA NA 1 0 NA NA 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 523352.546183145 "pleurocarpous" "mat" "perennial" 0 "inclined" 1 1 0 "dioicous" "rare" 16.7 18.524 65.3836 14.4904 0 298.2 0 0 0 0 0 "common" 1 0 3 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 5.36 3.04 4.72 2.68 3.6 0 5.16 3.6 5.8 3.16 8.342 971.348 92.6 493.12 884.4 "NO"
"Eurhynchiastrum pulchellum" "Eurhynchiastrum pulchellum (Hedw.) Ignatov & Huttunen" "SPECIES" "accepted" "Eurhynchiastrum pulchellum (Hedw.) Ignatov & Huttunen" "Eurhynchiastrum" "Brachytheciaceae" "Bryales" "Bryopsida" "Bryophyta" "Bryophytes" "SPEED2ZERO" "INN" "No" "LC" "LC" "VULNERABLE" 1 0 NA NA 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 330110.56999302 "pleurocarpous" "mat" "perennial" 0 "inclined" 1 1 0 "dioicous" "rare" 16.7 22 40 11 0 402.12 0 0 0 0 0 "common" 1 3.16 68.12 0.12 3.28 2 25.32 1.68 1.04 16.68 1 4.24 0 14.68 0 6.96 0 0.04 0 0 0 0.44 4 2.76 6 3.6 5 0 4 2.84 6 2.52 5.15 705.9 20 1540 3060 "NO"
"Eurhynchiastrum pulchellum aggr." "Eurhynchiastrum pulchellum (Hedw.) Ignatov & Huttunen" "AGGREGATE" "accepted" "Eurhynchiastrum pulchellum (Hedw.) Ignatov & Huttunen" "Eurhynchiastrum" "Brachytheciaceae" "Bryales" "Bryopsida" "Bryophyta" "Bryophytes" "InfoSpecies" "INN" "No" "alle LC" "LC" "NOT_EVALUATED" 1 0 NA NA 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 457629.406316718 "pleurocarpous" "mat" "perennial" 0 "inclined" 1 1 0 "dioicous" "rare" 16.7 22 40 11 0 566.48 0 0 0 0 0 "common" 1 2.89333333333333 62.42 0.2 2.76 2.56 30.32 1.64 1.8 24.48 1 3.1 0 9.56 0 5 0 0 0 0 0 0.4 4 2.8 6 3.84 5 0 4 2.76 6 2.32 5.15 705.9 20 1540 3060 "NO"
"Eurhynchiastrum pulchellum var. diversifolium" "Eurhynchiastrum pulchellum var. diversifolium (Schimp.) Ochyra & Żarnowiec" "VARIETY" "synonym" "Eurhynchiastrum diversifolium (Schimp.) J.Guerra" "Eurhynchiastrum" "Brachytheciaceae" "Bryales" "Bryopsida" "Bryophyta" "Bryophytes" "InfoSpecies" "INN" NA "LC" NA NA 1 0 NA NA 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 580897.377049051 "pleurocarpous" "turf" "perennial" 0 "inclined" 1 1 0 "dioicous" "occasional" 16.7 18.68 77.3068 14.1132 0 412.04 0 0 0 0 0 "common" 1 0 3 0 0 0 0 1 0 1 1 0 1 0 1 0 0 0 0 0 0 0 5.76 3.36 5.56 2.88 4.12 0 4.12 3 5.6 3.08 6.802 820.606 45.8 942.4 1806.4 "NO"
"Eurhynchiastrum pulchellum var. pulchellum" "Eurhynchiastrum pulchellum var. pulchellum" "VARIETY" "accepted" "Eurhynchiastrum pulchellum var. pulchellum" "Eurhynchiastrum" "Brachytheciaceae" "Bryales" "Bryopsida" "Bryophyta" "Bryophytes" "InfoSpecies" "INN" NA NA NA NA 1 0 NA NA 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 448531.767204418 "pleurocarpous" "turf" "perennial" 0 "inclined" 1 1 0 "dioicous" "rare" 16.7 21.12 68.4668 14.56 0 498.72 0 0 0 0 0 "common" 1 9.22 33 0.12 1 3.04 9.72 1.56 1.68 4 1 6 0 4.56 0 6.52 0 0.08 0 0 0.04 0.08 5.48 3.16 5.34 2.96 3.8 0 3.52 2.84 5.8 2.84 6.226 844.215 29.8 1053.66 2041.6 "YES"
"Eurhynchium angustirete" "Eurhynchium angustirete (Broth.) T.J.Kop." "SPECIES" "accepted" "Eurhynchium angustirete (Broth.) T.J.Kop." "Eurhynchium" "Brachytheciaceae" "Bryales" "Bryopsida" "Bryophyta" "Bryophytes" "SPEED2ZERO" "INN" "No" "LC" "LC" "LEAST_CONCERN" 1 0 NA NA 1 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 345160.152389492 "pleurocarpous" "weft" "perennial" 0 "inclined" 1 1 0 "dioicous" "occasional" 16.7 25 50 12 0 369.08 0 0 0 0 0 "common" 1 16 230 0 1 2 15 1 0 11 1 40 1 18 1 58 0 1 0 0 0 0 4 3 7 3.36 4 0 4 3 5 2 7.35 706.1 0 902.5 1805 "NO"
"Eurhynchium striatum" "Eurhynchium striatum (Schreb. ex Hedw.) Schimp." "SPECIES" "accepted" "Eurhynchium striatum (Schreb. ex Hedw.) Schimp." "Eurhynchium" "Brachytheciaceae" "Bryales" "Bryopsida" "Bryophyta" "Bryophytes" "SPEED2ZERO" "INN" "No" "LC" "LC" "LEAST_CONCERN" 1 0 NA NA 1 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 389068.499155189 "pleurocarpous" "weft" "perennial" 0 "inclined" 1 1 0 "dioicous" "occasional" 16.7 31 116.67 13 0 383.44 0 0 0 0 0 "occasional" 1 19 275 1 4 5 29 1 3 16 1 16 1 52 1 106 0 0 0 0 0 0 5 3 6 3.6 6 0 6 3 5 2 8.25 759.1 0 400 800 "NO"
"Eurhynchium striatum aggr." "Eurhynchium striatum (Schreb. ex Hedw.) Schimp." "AGGREGATE" "accepted" "Eurhynchium striatum (Schreb. ex Hedw.) Schimp." "Eurhynchium" "Brachytheciaceae" "Bryales" "Bryopsida" "Bryophyta" "Bryophytes" "InfoSpecies" "INN" "No" "alle LC" "LC" "NOT_EVALUATED" 1 0 NA NA 1 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 378742.002574368 "pleurocarpous" "weft" "perennial" 0 "inclined" 1 1 0 "dioicous" "occasional" 16.7 31 116.67 13 0 564.2 0 0 0 0 0 "common" 1 19 275 1 4 5 29 1 3 16 1 16 1 52 1 106 0 0 0 0 0 0 5 3 6 3.6 6 0 6 3 5 2 8.25 759.1 0 400 800 "NO"
"Exormotheca pustulosa" "Exormotheca pustulosa Mitt." "SPECIES" "accepted" "Exormotheca pustulosa Mitt." "Exormotheca" "Exormothecaceae" "Marchantiales" "Marchantiopsida" "Marchantiophyta" "Bryophytes" "EEA" NA "No" NA "NT" NA 1 0 NA NA 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 20220.0866402933 "thalloid" "mat" "shortLived_shuttle" 0 "erect" 0 1 0 "both" "occasional" 6.7 2.24 7.5 57.5 0 496.88 0 0 0 0 0 "common" 1 6.23333333333333 28.28 0.12 1.92 5.32 10.72 0.48 1.64 2.56 1 2.28 0 6.08 0 5.3 0 0.64 0 0.04 0.16 0.28 6 3 5.76 3.12 3.8 0.08 8.16 4.32 5.48 2.84 15.65 727.2 10 355 700 "NO"
"Exormotheca welwitschii" "Exormotheca welwitschii Steph." "SPECIES" "accepted" "Exormotheca welwitschii Steph." "Exormotheca" "Exormothecaceae" "Marchantiales" "Marchantiopsida" "Marchantiophyta" "Bryophytes" "EEA" NA "No" NA "EN" NA 1 0 NA NA 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 13024.5666396571 "thalloid" "mat" "shortLived_shuttle" 0 "erect" 0 1 0 "dioicous" "common" 6.7 3.9 16.1368 120 0 486.88 0 0 0 0 0 "common" 0 5.64 53.68 0.32 2.64 5.44 20.2466666666667 1.08 1.36 6.72 1 2.52 0 11.32 0 12.12 0 1.36 0 0.04 0.04 0.26 4.28 2.36 6.16 3.04 4.2 0.76 8.2 3.96 6.4 3.52 16.45 656.4 0 550 1100 "NO"
"Exsertotheca baetica" "Exsertotheca baetica (J.Guerra, J.F.Jiménez & J.A.Jiménez) Draper, Gonz.-Mancebo, O.Werner, J.Patiño & Ros" "SPECIES" "accepted" "Exsertotheca baetica (J.Guerra, J.F.Jiménez & J.A.Jiménez) Draper, Gonz.-Mancebo, O.Werner, J.Patiño & Ros" "Exsertotheca" "Neckeraceae" "Hypnales" "Bryopsida" "Bryophyta" "Bryophytes" "EEA" NA "Yes" NA "EN" "ENDANGERED" 1 0 NA NA 1 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 6.66594411774198 "pleurocarpous" "mat" "perennial" 1 "erect" 1 1 0 "monoicous" "occasional" 16.7 7.74 25 19.5 0 469 0 0 0 0 0 "common" 0 0.24 2.88 0 0.36 0.56 4.2 0.04 0.08 1.48 0 0.24 1 13.62 0 1 0 0 0 0 0 0 4.24 2.16 5.68 2.64 4.72 0.08 8.16 4.32 6.2 2.6 17.15 870.7 600 650 700 "NO"
"Exsertotheca crispa" "Exsertotheca crispa (Hedw.) S.Olsson, Enroth & D.Quandt" "SPECIES" "accepted" "Exsertotheca crispa (Hedw.) S.Olsson, Enroth & D.Quandt" "Exsertotheca" "Neckeraceae" "Hypnales" "Bryopsida" "Bryophyta" "Bryophytes" "EEA" "INN" "No" "LC" "LC" "ENDANGERED" 1 0 NA NA 1 0 1 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 227449.211883884 "pleurocarpous" "turf" "longLived_shuttle" 0 "erect_to_inclined" 1 1 0 "dioicous" "occasional" 16.7 12 148.33 27 1 592.4 0 0 0 0 1 "occasional" 1 4 44 0 4 21 146 1 5 16 1 6 1 206 0 21 0 0 0 0 0 0 4 3 7 4 5 0 3 3 3 2 5.85 728 0 850 1700 "NO"
"Exsertotheca intermedia" "Exsertotheca intermedia (Brid.) S.Olsson, Enroth & D.Quandt" "SPECIES" "accepted" "Exsertotheca intermedia (Brid.) S.Olsson, Enroth & D.Quandt" "Exsertotheca" "Neckeraceae" "Hypnales" "Bryopsida" "Bryophyta" "Bryophytes" "EEA" NA "Yes" NA "VU" "VULNERABLE" 1 0 NA NA 1 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 4556.98331636755 "pleurocarpous" "mat" "perennial" 1 "erect" 1 1 0 "dioicous" "common" 16.7 17 125 19 0 530.36 0 0 0 0 0 "occasional" 1 2.84 29.52 0 1.26 6 22.64 0.32 1.04 12.4 0 3.16 1 103.44 0 16.86 0 0.08 0 0 0 0.08 4.88 2.72 5.84 3 5.12 0 7.28 4.08 4.48 2.08 16.55 1289.05 50 975 1900 "NO"
"Fabronia ciliaris" "Fabronia ciliaris (Brid.) Brid." "SPECIES" "accepted" "Fabronia ciliaris (Brid.) Brid." "Fabronia" "Fabroniaceae" "Bryales" "Bryopsida" "Bryophyta" "Bryophytes" "InfoSpecies" "INN" "No" "DD" "VU" "NOT_EVALUATED" 1 0 NA NA 1 0 1 0 0 0 0 0 1 0 0 1 1 0 1 0 0 0 0 0 84981.3693029959 "pleurocarpous" "turf" "perennial" 1 "erect" 1 1 0 "monoicous" "common" 16.7 3.57 6 15 0 468.28 0 0 0 0 0 "common" 1 0 0 0 0 0 1 0 1 4 0 0 1 0 0 0 0 0 0 0 0 0 2 2 3 2 3.64 0 8 4 8 3 4.05 845.7 100 750 1400 "NO"
"Fabronia ciliaris aggr." "Fabronia ciliaris (Brid.) Brid." "AGGREGATE" "accepted" "Fabronia ciliaris (Brid.) Brid." "Fabronia" "Fabroniaceae" "Bryales" "Bryopsida" "Bryophyta" "Bryophytes" "InfoSpecies" "INN" "No" "alle DD" "VU" "NOT_EVALUATED" 1 0 NA NA 1 0 1 0 0 0 0 0 1 0 0 1 1 0 1 0 0 0 0 0 120783.636199368 "pleurocarpous" "turf" "perennial" 1 "erect" 1 1 0 "monoicous" "common" 16.7 3.13 6 15 0 353.76 0 0 0 0 0 "common" 1 0 0 0 0 0 1 0 1 4 0 0 1 0 0 0 0 0 0 0 0 0 2 2 3 2 3.52 0.08 8 4 8 3 4.05 845.7 100 750 1400 "NO"
"Fabronia major" "Fabronia major De Not." "SPECIES" "accepted" "Fabronia major De Not." "Fabronia" "Fabroniaceae" "Bryales" "Bryopsida" "Bryophyta" "Bryophytes" "InfoSpecies" "INN" NA "DD" NA NA 1 0 NA NA 1 0 1 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 441890.274380647 "pleurocarpous" "turf" "perennial" 0 "erect" 1 1 0 "dioicous" "occasional" 13.9 7.77 39.6516 15.47 0 554.56 0 0 0 0 0 "common" 1 0 0 0 0 0 0 0 0 3 1 0 0 2 0 0 0 0 0 0 0 0 4.64 2 5.2 2 3.68 0 5.44 4 5.88 3 8.69 926.582 56.8 463.6 877.2 "NO"
"Fabronia pusilla" "Fabronia pusilla Raddi" "SPECIES" "accepted" "Fabronia pusilla Raddi" "Fabronia" "Fabroniaceae" "Bryales" "Bryopsida" "Bryophyta" "Bryophytes" "SPEED2ZERO" "INN" "No" "LC" "LC" NA 1 0 NA NA 1 0 1 0 0 0 0 0 1 0 0 1 0 0 1 0 0 0 0 0 116757.045006152 "pleurocarpous" "mat" "perennial" 1 "erect" 1 1 0 "monoicous" "occasional" 16.7 4 6 13.5 0 372.16 0 0 0 0 0 "common" 0 0 0 0 0 0 0 0 0 2 0 1 1 18 0 0 0 0 0 0 0 0 3 2 5 2 3 0.04 9 5 8 3 14.55 718 0 0 0 "NO"
"Fissidens adianthoides" "Fissidens adianthoides Hedw." "SPECIES" "accepted" "Fissidens adianthoides Hedw." "Fissidens" "Fissidentaceae" "Dicranales" "Bryopsida" "Bryophyta" "Bryophytes" "SPEED2ZERO" "INN" "No" "LC" "LC" "LEAST_CONCERN" 1 0 NA NA 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 359813.547544235 "acrocarpous" "turf" "colonist" 0 "erect_to_inclined" 1 1 0 "both" "common" 6.7 17.38 110.33 21 0 575.04 0 0 0 0 0 "common" 1 1 19 0 0 2 3 0 0 0 1 0 1 1 1 3 0 0 0 0 0 0 8 3 7 4 4 0 3 3 0 2 5.45 711.5 0 0 0 "NO"
