species,genus,family,order,class,scheme
Blicca bjoerkna,Blicca,Cyprinidae,Cypriniformes,Actinopterygii,aquatic
Blindia acuta,Blindia,Seligeriaceae,Grimmiales,Bryopsida,terrestrial
Blitum virgatum,Blitum,Amaranthaceae,Caryophyllales,Magnoliopsida,terrestrial
Blysmus compressus,Blysmus,Cyperaceae,Poales,Liliopsida,terrestrial
Bodilopsis rufa,Bodilopsis,Scarabaeidae,Coleoptera,Insecta,terrestrial
Boettgerilla pallens,Boettgerilla,Boettgerillidae,Stylommatophora,Gastropoda,terrestrial
Bohemanella frigida,Bohemanella,Acrididae,Orthoptera,Insecta,terrestrial
Boidinia furfuracea,Boidinia,Russulaceae,Russulales,Agaricomycetes,terrestrial
Bolbitius vitellinus,Bolbitius,Bolbitiaceae,Agaricales,Agaricomycetes,terrestrial
Boletinus cavipes,Suillus,Suillaceae,Boletales,Agaricomycetes,terrestrial
Boletopsis leucomelaena,Boletopsis,Bankeraceae,Thelephorales,Agaricomycetes,terrestrial
Boletus aestivalis,Boletus,Boletaceae,Boletales,Agaricomycetes,terrestrial
Boletus appendiculatus,Butyriboletus,Boletaceae,Boletales,Agaricomycetes,terrestrial
Boletus calopus,Caloboletus,Boletaceae,Boletales,Agaricomycetes,terrestrial
Boletus depilatus,Hemileccinum,Boletaceae,Boletales,Agaricomycetes,terrestrial
Boletus edulis,Boletus,Boletaceae,Boletales,Agaricomycetes,terrestrial
Boletus erythropus,Boletus,Boletaceae,Boletales,Agaricomycetes,terrestrial
Boletus fechtneri,Butyriboletus,Boletaceae,Boletales,Agaricomycetes,terrestrial
Boletus luridus,Suillellus,Boletaceae,Boletales,Agaricomycetes,terrestrial
Boletus pinophilus,Boletus,Boletaceae,Boletales,Agaricomycetes,terrestrial
Boletus pulverulentus,Cyanoboletus,Boletaceae,Boletales,Agaricomycetes,terrestrial
Boletus queletii,Suillellus,Boletaceae,Boletales,Agaricomycetes,terrestrial
Boletus radicans,Caloboletus,Boletaceae,Boletales,Agaricomycetes,terrestrial
Boletus rhodoxanthus,Rubroboletus,Boletaceae,Boletales,Agaricomycetes,terrestrial
Boletus satanas,Rubroboletus,Boletaceae,Boletales,Agaricomycetes,terrestrial
Boletus subappendiculatus,Butyriboletus,Boletaceae,Boletales,Agaricomycetes,terrestrial
Boloria aquilonaris,Boloria,Nymphalidae,Lepidoptera,Insecta,terrestrial
Boloria dia,Boloria,Nymphalidae,Lepidoptera,Insecta,terrestrial
Boloria euphrosyne,Clossiana,Nymphalidae,Lepidoptera,Insecta,terrestrial
Boloria napaea,Boloria,Nymphalidae,Lepidoptera,Insecta,terrestrial
Boloria pales,Boloria,Nymphalidae,Lepidoptera,Insecta,terrestrial
Boloria selene,Boloria,Nymphalidae,Lepidoptera,Insecta,terrestrial
Boloria thore,Boloria,Nymphalidae,Lepidoptera,Insecta,terrestrial
Boloria titania,Boloria,Nymphalidae,Lepidoptera,Insecta,terrestrial
Bombina variegata,Bombina,Bombinatoridae,Anura,Amphibia,terrestrial
Bombus barbutellus,Bombus,Apidae,Hymenoptera,Insecta,terrestrial
Bombus bohemicus,Bombus,Apidae,Hymenoptera,Insecta,terrestrial
Bombus campestris,Bombus,Apidae,Hymenoptera,Insecta,terrestrial
Bombus cryptarum,Bombus,Apidae,Hymenoptera,Insecta,terrestrial
Bombus gerstaeckeri,Bombus,Apidae,Hymenoptera,Insecta,terrestrial
Bombus hortorum,Bombus,Apidae,Hymenoptera,Insecta,terrestrial
Bombus humilis,Bombus,Apidae,Hymenoptera,Insecta,terrestrial
Bombus hypnorum,Bombus,Apidae,Hymenoptera,Insecta,terrestrial
Bombus jonellus,Bombus,Apidae,Hymenoptera,Insecta,terrestrial
Bombus lapidarius,Bombus,Apidae,Hymenoptera,Insecta,terrestrial
Bombus lucorum,Bombus,Apidae,Hymenoptera,Insecta,terrestrial
Bombus mendax,Bombus,Apidae,Hymenoptera,Insecta,terrestrial
Bombus mesomelas,Bombus,Apidae,Hymenoptera,Insecta,terrestrial
Bombus monticola,Bombus,Apidae,Hymenoptera,Insecta,terrestrial
Bombus mucidus,Bombus,Apidae,Hymenoptera,Insecta,terrestrial
Bombus norvegicus,Bombus,Apidae,Hymenoptera,Insecta,terrestrial
Bombus pascuorum,Bombus,Apidae,Hymenoptera,Insecta,terrestrial
Bombus pratorum,Bombus,Apidae,Hymenoptera,Insecta,terrestrial
Bombus pyrenaeus,Bombus,Apidae,Hymenoptera,Insecta,terrestrial
Bombus quadricolor,Bombus,Apidae,Hymenoptera,Insecta,terrestrial
Bombus ruderarius,Bombus,Apidae,Hymenoptera,Insecta,terrestrial
Bombus ruderatus,Bombus,Apidae,Hymenoptera,Insecta,terrestrial
Bombus rupestris,Bombus,Apidae,Hymenoptera,Insecta,terrestrial
Bombus sichelii,Bombus,Apidae,Hymenoptera,Insecta,terrestrial
Bombus soroeensis,Bombus,Apidae,Hymenoptera,Insecta,terrestrial
Bombus subterraneus,Bombus,Apidae,Hymenoptera,Insecta,terrestrial
Bombus sylvarum,Bombus,Apidae,Hymenoptera,Insecta,terrestrial
Bombus sylvestris,Bombus,Apidae,Hymenoptera,Insecta,terrestrial
Bombus terrestris,Bombus,Apidae,Hymenoptera,Insecta,terrestrial
Bombus vestalis,Bombus,Apidae,Hymenoptera,Insecta,terrestrial
Bombus veteranus,Bombus,Apidae,Hymenoptera,Insecta,terrestrial
Bombus wurflenii,Bombus,Apidae,Hymenoptera,Insecta,terrestrial
Bonasa bonasia,Tetrastes,Phasianidae,Galliformes,Aves,terrestrial
Bondarzewia mesenterica,Bondarzewia,Bondarzewiaceae,Russulales,Agaricomycetes,terrestrial
Borago officinalis,Borago,Boraginaceae,Boraginales,Magnoliopsida,terrestrial
Bostrichus capucinus,Bostrichus,Bostrichidae,Coleoptera,Insecta,terrestrial
Bothriochloa ischaemum,Bothriochloa,Poaceae,Poales,Liliopsida,terrestrial
Botrychium lunaria,Botrychium,Ophioglossaceae,Ophioglossales,Polypodiopsida,terrestrial
Botryobasidium aureum,Botryobasidium,Botryobasidiaceae,Cantharellales,Agaricomycetes,terrestrial
Botryobasidium candicans,Botryobasidium,Botryobasidiaceae,Cantharellales,Agaricomycetes,terrestrial
Botryobasidium conspersum,Botryobasidium,Botryobasidiaceae,Cantharellales,Agaricomycetes,terrestrial
Botryobasidium isabellinum,Botryobasidium,Botryobasidiaceae,Cantharellales,Agaricomycetes,terrestrial
Botryobasidium laeve,Botryobasidium,Botryobasidiaceae,Cantharellales,Agaricomycetes,terrestrial
Botryobasidium obtusisporum,Botryobasidium,Botryobasidiaceae,Cantharellales,Agaricomycetes,terrestrial
Botryobasidium pruinatum,Botryobasidium,Botryobasidiaceae,Cantharellales,Agaricomycetes,terrestrial
Botryobasidium subcoronatum,Botryobasidium,Botryobasidiaceae,Cantharellales,Agaricomycetes,terrestrial
Botryobasidium vagum,Botryobasidium,Botryobasidiaceae,Cantharellales,Agaricomycetes,terrestrial
Bovista nigrescens,Bovista,Lycoperdaceae,Agaricales,Agaricomycetes,terrestrial
Bovista plumbea,Bovista,Lycoperdaceae,Agaricales,Agaricomycetes,terrestrial
Boyeria irene,Boyeria,Aeshnidae,Odonata,Insecta,aquatic
Brachinus crepitans,Brachinus,Carabidae,Coleoptera,Insecta,terrestrial
Brachinus explodens,Brachinus,Carabidae,Coleoptera,Insecta,terrestrial
Brachionycha nubeculosa,Brachionycha,Noctuidae,Lepidoptera,Insecta,terrestrial
Brachygonus megerlei,Brachygonus,Elateridae,Coleoptera,Insecta,terrestrial
Brachylomia viminalis,Brachylomia,Noctuidae,Lepidoptera,Insecta,terrestrial
Brachypodium pinnatum,Brachypodium,Poaceae,Poales,Liliopsida,terrestrial
Brachypodium rupestre,Brachypodium,Poaceae,Poales,Liliopsida,terrestrial
Brachypodium sylvaticum,Brachypodium,Poaceae,Poales,Liliopsida,terrestrial
Brachyptera risi,Brachyptera,Taeniopterygidae,Plecoptera,Insecta,aquatic
Brachyptera seticornis,Brachyptera,Taeniopterygidae,Plecoptera,Insecta,aquatic
Brachyta interrogationis,Brachyta,Cerambycidae,Coleoptera,Insecta,terrestrial
Brachytheciastrum velutinum,Brachytheciastrum,Brachytheciaceae,Hypnales,Bryopsida,terrestrial
Brachythecium glareosum,Brachythecium,Brachytheciaceae,Hypnales,Bryopsida,terrestrial
Brachythecium mildeanum,Brachythecium,Brachytheciaceae,Hypnales,Bryopsida,terrestrial
Brachythecium rivulare,Brachythecium,Brachytheciaceae,Hypnales,Bryopsida,terrestrial
Brachythecium rutabulum,Brachythecium,Brachytheciaceae,Hypnales,Bryopsida,terrestrial
Brachythecium salebrosum,Brachythecium,Brachytheciaceae,Hypnales,Bryopsida,terrestrial
Brachythecium tommasinii,Brachythecium,Brachytheciaceae,Hypnales,Bryopsida,terrestrial
Brachytron pratense,Brachytron,Aeshnidae,Odonata,Insecta,terrestrial
Brassica napus,Brassica,Brassicaceae,Brassicales,Magnoliopsida,terrestrial
Brassica rapa,Brassica,Brassicaceae,Brassicales,Magnoliopsida,terrestrial
Breidleria pratensis,Stereodon,Stereodontaceae,Hypnales,Bryopsida,terrestrial
Brenthis daphne,Brenthis,Nymphalidae,Lepidoptera,Insecta,terrestrial
Brenthis ino,Brenthis,Nymphalidae,Lepidoptera,Insecta,terrestrial
Breutelia chrysocoma,Breutelia,Bartramiaceae,Bartramiales,Bryopsida,terrestrial
Brevicellicium olivascens,Brevicellicium,Hydnodontaceae,Trechisporales,Agaricomycetes,terrestrial
Brintesia circe,Loweia,Lycaenidae,Lepidoptera,Insecta,terrestrial
Briza media,Briza,Poaceae,Poales,Liliopsida,terrestrial
Bromus arvensis,Bromus,Poaceae,Poales,Liliopsida,terrestrial
Bromus benekenii,Bromus,Poaceae,Poales,Liliopsida,terrestrial
Bromus carinatus,Bromus,Poaceae,Poales,Liliopsida,terrestrial
Bromus catharticus,Bromus,Poaceae,Poales,Liliopsida,terrestrial
Bromus commutatus,Bromus,Poaceae,Poales,Liliopsida,terrestrial
Bromus erectus,Bromus,Poaceae,Poales,Liliopsida,terrestrial
Bromus hordeaceus,Bromus,Poaceae,Poales,Liliopsida,terrestrial
Bromus hordeaceus hordeaceus,Bromus,Poaceae,Poales,Liliopsida,terrestrial
Bromus inermis,Bromus,Poaceae,Poales,Liliopsida,terrestrial
Bromus japonicus,Bromus,Poaceae,Poales,Liliopsida,terrestrial
Bromus madritensis,Bromus,Poaceae,Poales,Liliopsida,terrestrial
Bromus racemosus,Bromus,Poaceae,Poales,Liliopsida,terrestrial
Bromus ramosus,Bromus,Poaceae,Poales,Liliopsida,terrestrial
Bromus riparius,Bromus,Poaceae,Poales,Liliopsida,terrestrial
Bromus secalinus,Bromus,Poaceae,Poales,Liliopsida,terrestrial
Bromus sitchensis,Bromus,Poaceae,Poales,Liliopsida,terrestrial
Bromus squarrosus,Bromus,Poaceae,Poales,Liliopsida,terrestrial
Bromus sterilis,Bromus,Poaceae,Poales,Liliopsida,terrestrial
Bromus tectorum,Bromus,Poaceae,Poales,Liliopsida,terrestrial
Brunnera macrophylla,Brunnera,Boraginaceae,Boraginales,Magnoliopsida,terrestrial
Brunnipila clandestina,Brunnipila,Lachnaceae,Helotiales,Leotiomycetes,terrestrial
Brunnipila fuscescens,Brunnipila,Lachnaceae,Helotiales,Leotiomycetes,terrestrial
Bryoerythrophyllum recurvirostrum,Bryoerythrophyllum,Pottiaceae,Pottiales,Bryopsida,terrestrial
Bryonia dioica,Bryonia,Cucurbitaceae,Cucurbitales,Magnoliopsida,terrestrial
Bryoria bicolor,Bryoria,Parmeliaceae,Lecanorales,Lecanoromycetes,terrestrial
Bryoria capillaris,Bryoria,Parmeliaceae,Lecanorales,Lecanoromycetes,terrestrial
Bryoria fuscescens,Bryoria,Parmeliaceae,Lecanorales,Lecanoromycetes,terrestrial
Bryoria implexa,Bryoria,Parmeliaceae,Lecanorales,Lecanoromycetes,terrestrial
Bryum alpinum,Bryum,Bryaceae,Bryales,Bryopsida,terrestrial
Bryum argenteum,Bryum,Bryaceae,Bryales,Bryopsida,terrestrial
Bryum argenteum argenteum,Bryum,Bryaceae,Bryales,Bryopsida,terrestrial
Bryum barnesii,Bryum,Bryaceae,Bryales,Bryopsida,terrestrial
Bryum bicolor,Bryum,Bryaceae,Bryales,Bryopsida,terrestrial
Bryum caespiticium,Gemmabryum,Bryaceae,Bryales,Bryopsida,terrestrial
Bryum caespiticium caespiticium,Bryum,Bryaceae,Bryales,Bryopsida,terrestrial
Bryum capillare,Rosulabryum,Bryaceae,Bryales,Bryopsida,terrestrial
Bryum creberrimum,Ptychostomum,Bryaceae,Bryales,Bryopsida,terrestrial
Bryum elegans,Bryum,Bryaceae,Bryales,Bryopsida,terrestrial
Bryum klinggraeffii,Gemmabryum,Bryaceae,Bryales,Bryopsida,terrestrial
Bryum moravicum,Rosulabryum,Bryaceae,Bryales,Bryopsida,terrestrial
Bryum pallens,Bryum,Bryaceae,Bryales,Bryopsida,terrestrial
Bryum pallescens,Ptychostomum,Bryaceae,Bryales,Bryopsida,terrestrial
Bryum pseudotriquetrum,Ptychostomum,Bryaceae,Bryales,Bryopsida,terrestrial
Bryum rubens,Rosulabryum,Bryaceae,Bryales,Bryopsida,terrestrial
Bryum schleicheri,Ptychostomum,Bryaceae,Bryales,Bryopsida,terrestrial
Bryum weigelii,Bryum,Bryaceae,Bryales,Bryopsida,terrestrial
Bubo bubo,Bubo,Strigidae,Strigiformes,Aves,terrestrial
Buddleja davidii,Buddleja,Scrophulariaceae,Lamiales,Magnoliopsida,terrestrial
Buellia disciformis,Buellia,Caliciaceae,Caliciales,Lecanoromycetes,terrestrial
Buellia griseovirens,Buellia,Caliciaceae,Caliciales,Lecanoromycetes,terrestrial
Buellia schaereri,Buellia,Caliciaceae,Caliciales,Lecanoromycetes,terrestrial
Bufo bufo,Bufo,Bufonidae,Anura,Amphibia,terrestrial
Buglossoides arvensis,Buglossoides,Boraginaceae,Boraginales,Magnoliopsida,terrestrial
Buglossoides arvensis arvensis,Buglossoides,Boraginaceae,Boraginales,Magnoliopsida,terrestrial
Buglossoides purpurocaerulea,Aegonychon,Boraginaceae,Boraginales,Magnoliopsida,terrestrial
Bulbocodium vernum,Colchicum,Colchicaceae,Liliales,Liliopsida,terrestrial
Bulgaria inquinans,Bulgaria,Phacidiaceae,Phacidiales,Leotiomycetes,terrestrial
Bunias orientalis,Bunias,Brassicaceae,Brassicales,Magnoliopsida,terrestrial
Bunium bulbocastanum,Bunium,Apiaceae,Apiales,Magnoliopsida,terrestrial
Buphthalmum salicifolium,Buphthalmum,Asteraceae,Asterales,Magnoliopsida,terrestrial
Bupleurum falcatum,Bupleurum,Apiaceae,Apiales,Magnoliopsida,terrestrial
Bupleurum falcatum falcatum,Bupleurum,Apiaceae,Apiales,Magnoliopsida,terrestrial
Bupleurum longifolium,Bupleurum,Apiaceae,Apiales,Magnoliopsida,terrestrial
Bupleurum ranunculoides,Bupleurum,Apiaceae,Apiales,Magnoliopsida,terrestrial
Bupleurum ranunculoides caricinum,Bupleurum,Apiaceae,Apiales,Magnoliopsida,terrestrial
Bupleurum rotundifolium,Bupleurum,Apiaceae,Apiales,Magnoliopsida,terrestrial
Bupleurum stellatum,Bupleurum,Apiaceae,Apiales,Magnoliopsida,terrestrial
Buprestis haemorrhoidalis,Buprestis,Buprestidae,Coleoptera,Insecta,terrestrial
Buprestis novemmaculata,Buprestis,Buprestidae,Coleoptera,Insecta,terrestrial
Buprestis octoguttata,Buprestis,Buprestidae,Coleoptera,Insecta,terrestrial
Buprestis rustica,Buprestis,Buprestidae,Coleoptera,Insecta,terrestrial
Buteo buteo,Buteo,Accipitridae,Accipitriformes,Aves,terrestrial
Butomus umbellatus,Butomus,Butomaceae,Alismatales,Liliopsida,aquatic
Buxbaumia viridis,Buxbaumia,Buxbaumiaceae,Buxbaumiales,Bryopsida,terrestrial
Buxus sempervirens,Buxus,Buxaceae,Buxales,Magnoliopsida,terrestrial
Byturus ochraceus,Byturus,Byturidae,Coleoptera,Insecta,terrestrial
Byturus tomentosus,Byturus,Byturidae,Coleoptera,Insecta,terrestrial
Cacyreus marshalli,Cacyreus,Lycaenidae,Lepidoptera,Insecta,terrestrial
Caenis beskidensis,Caenis,Caenidae,Ephemeroptera,Insecta,terrestrial
Caenis horaria,Caenis,Caenidae,Ephemeroptera,Insecta,aquatic
Caenis luctuosa,Caenis,Caenidae,Ephemeroptera,Insecta,aquatic
Caenis macrura,Caenis,Caenidae,Ephemeroptera,Insecta,aquatic
Caenis rivulorum,Caenis,Caenidae,Ephemeroptera,Insecta,aquatic
Calamagrostis arundinacea,Calamagrostis,Poaceae,Poales,Liliopsida,terrestrial
Calamagrostis canescens,Calamagrostis,Poaceae,Poales,Liliopsida,terrestrial
Calamagrostis epigejos,Calamagrostis,Poaceae,Poales,Angiospermae,terrestrial
Calamagrostis pseudophragmites,Calamagrostis,Poaceae,Poales,Liliopsida,terrestrial
Calamagrostis varia,Calamagrostis,Poaceae,Poales,Liliopsida,terrestrial
Calamagrostis villosa,Calamagrostis,Poaceae,Poales,Liliopsida,terrestrial
Calamia tridens,Calamia,Noctuidae,Lepidoptera,Insecta,terrestrial
Calamintha ascendens,Clinopodium,Lamiaceae,Lamiales,Magnoliopsida,terrestrial
Calamintha grandiflora,Calamintha,Lamiaceae,Lamiales,Angiospermae,terrestrial
Calamintha menthifolia,Clinopodium,Lamiaceae,Lamiales,Magnoliopsida,terrestrial
Calamintha nepeta,Clinopodium,Lamiaceae,Lamiales,Magnoliopsida,terrestrial
Calamosternus granarius,Calamosternus,Scarabaeidae,Coleoptera,Insecta,terrestrial
Calathus erratus erratus,Calathus,Carabidae,Coleoptera,Insecta,terrestrial
Calathus fuscipes fuscipes,Calathus,Carabidae,Coleoptera,Insecta,terrestrial
Calathus melanocephalus melanocephalus,Calathus,Carabidae,Coleoptera,Insecta,terrestrial
Calathus micropterus,Calathus,Carabidae,Coleoptera,Insecta,terrestrial
Calendula arvensis,Calendula,Asteraceae,Asterales,Magnoliopsida,terrestrial
Calendula officinalis,Calendula,Asteraceae,Asterales,Magnoliopsida,terrestrial
Calepina irregularis,Calepina,Brassicaceae,Brassicales,Magnoliopsida,terrestrial
Calicium trabinellum,Calicium,Caliciaceae,Caliciales,Lecanoromycetes,terrestrial
Calicium viride,Calicium,Caliciaceae,Caliciales,Lecanoromycetes,terrestrial
Callianthemum coriandrifolium,Callianthemum,Ranunculaceae,Ranunculales,Magnoliopsida,terrestrial
Callidium aeneum,Callidium,Cerambycidae,Coleoptera,Insecta,terrestrial
Callidium coriaceum,Callidium,Cerambycidae,Coleoptera,Insecta,terrestrial
Callidium violaceum,Callidium,Cerambycidae,Coleoptera,Insecta,terrestrial
Calliergis ramosa,Calliergis,Noctuidae,Lepidoptera,Insecta,terrestrial
Calliergon giganteum,Calliergon,Calliergonaceae,Hypnales,Bryopsida,terrestrial
Calliergonella cuspidata,Calliergonella,Pylaisiaceae,Hypnales,Bryopsida,terrestrial
Calliergonella lindbergii,Calliergonella,Pylaisiaceae,Hypnales,Bryopsida,terrestrial
Callimorpha dominula,Callimorpha,Erebidae,Lepidoptera,Insecta,terrestrial
Calliptamus barbarus,Calliptamus,Acrididae,Orthoptera,Insecta,terrestrial
Calliptamus italicus,Calliptamus,Acrididae,Orthoptera,Insecta,terrestrial
Calliptamus siciliae,Calliptamus,Acrididae,Orthoptera,Insecta,terrestrial
Callistege mi,Callistege,Erebidae,Lepidoptera,Insecta,terrestrial
Callistus lunatus lunatus,Callistus,Carabidae,Coleoptera,Insecta,terrestrial
Calliteara pudibunda,Calliteara,Erebidae,Lepidoptera,Insecta,terrestrial
Callitriche cophocarpa,Callitriche,Plantaginaceae,Lamiales,Magnoliopsida,aquatic
Callitriche palustris,Callitriche,Plantaginaceae,Lamiales,Magnoliopsida,aquatic
Callitriche platycarpa,Callitriche,Plantaginaceae,Lamiales,Magnoliopsida,aquatic
Callitriche stagnalis,Callitriche,Plantaginaceae,Lamiales,Magnoliopsida,aquatic
Callophrys rubi,Callophrys,Lycaenidae,Lepidoptera,Insecta,terrestrial
Callopistria juventina,Callopistria,Noctuidae,Lepidoptera,Insecta,terrestrial
Calloria neglecta,Calloria,Calloriaceae,Helotiales,Leotiomycetes,terrestrial
Calluna vulgaris,Calluna,Ericaceae,Ericales,Magnoliopsida,terrestrial
Calocera cornea,Calocera,Dacrymycetaceae,Dacrymycetales,Dacrymycetes,terrestrial
Calocera viscosa,Calocera,Dacrymycetaceae,Dacrymycetales,Dacrymycetes,terrestrial
Calocybe constricta,Tricholomella,Lyophyllaceae,Agaricales,Agaricomycetes,terrestrial
Calocybe gambosa,Calocybe,Lyophyllaceae,Agaricales,Agaricomycetes,terrestrial
Calophasia lunula,Calophasia,Noctuidae,Lepidoptera,Insecta,terrestrial
Caloplaca alnetorum,Athallia,Teloschistaceae,Teloschistales,Lecanoromycetes,terrestrial
Caloplaca cerinella,Athallia,Teloschistaceae,Teloschistales,Lecanoromycetes,terrestrial
Caloplaca cerinelloides,Athallia,Teloschistaceae,Teloschistales,Lecanoromycetes,terrestrial
Caloplaca chlorina,Caloplaca,Teloschistaceae,Teloschistales,Lecanoromycetes,terrestrial
Caloplaca herbidella,Caloplaca,Teloschistaceae,Teloschistales,Lecanoromycetes,terrestrial
Caloplaca holocarpa,Athallia,Teloschistaceae,Teloschistales,Lecanoromycetes,terrestrial
Caloplaca lucifuga,Lendemeriella,Teloschistaceae,Teloschistales,Lecanoromycetes,terrestrial
Calopteryx splendens,Calopteryx,Calopterygidae,Odonata,Insecta,terrestrial
Calopteryx splendens caprai,Calopteryx,Calopterygidae,Odonata,Insecta,aquatic
Calopteryx virgo,Calopteryx,Calopterygidae,Odonata,Insecta,aquatic
Calopteryx virgo meridionalis,Calopteryx,Calopterygidae,Odonata,Insecta,aquatic
Caloscypha fulgens,Caloscypha,Caloscyphaceae,Pezizales,Pezizomycetes,terrestrial
Caltha palustris,Caltha,Ranunculaceae,Ranunculales,Magnoliopsida,terrestrial
Calvatia excipuliformis,Lycoperdon,Lycoperdaceae,Agaricales,Agaricomycetes,terrestrial
Calvatia utriformis,Bovistella,Lycoperdaceae,Agaricales,Agaricomycetes,terrestrial
Calypogeia azurea,Calypogeia,Calypogeiaceae,Jungermanniales,Jungermanniopsida,terrestrial
Calypogeia fissa,Calypogeia,Calypogeiaceae,Jungermanniales,Jungermanniopsida,terrestrial
Calypogeia fissa fissa,Calypogeia,Calypogeiaceae,Jungermanniales,Jungermanniopsida,terrestrial
Calypogeia integristipula,Calypogeia,Calypogeiaceae,Jungermanniales,Jungermanniopsida,terrestrial
Calypogeia muelleriana,Calypogeia,Calypogeiaceae,Jungermanniales,Jungermanniopsida,terrestrial
Calypogeia muelleriana muelleriana,Calypogeia,Calypogeiaceae,Jungermanniales,Jungermanniopsida,terrestrial
Calypogeia neesiana,Calypogeia,Calypogeiaceae,Jungermanniales,Jungermanniopsida,terrestrial
Calypogeia neesiana neesiana,Calypogeia,Calypogeiaceae,Jungermanniales,Jungermanniopsida,terrestrial
Calypogeia suecica,Calypogeia,Calypogeiaceae,Jungermanniales,Jungermanniopsida,terrestrial
Calyptella capula,Calyptella,Marasmiaceae,Agaricales,Agaricomycetes,terrestrial
Calystegia sepium,Calystegia,Convolvulaceae,Solanales,Magnoliopsida,terrestrial
Calystegia silvatica,Calystegia,Convolvulaceae,Solanales,Magnoliopsida,terrestrial
Camelina microcarpa,Camelina,Brassicaceae,Brassicales,Magnoliopsida,terrestrial
Camelina sativa,Camelina,Brassicaceae,Brassicales,Magnoliopsida,terrestrial
Campanula barbata,Campanula,Campanulaceae,Asterales,Magnoliopsida,terrestrial
Campanula bononiensis,Campanula,Campanulaceae,Asterales,Magnoliopsida,terrestrial
Campanula cenisia,Campanula,Campanulaceae,Asterales,Magnoliopsida,terrestrial
Campanula cervicaria,Campanula,Campanulaceae,Asterales,Magnoliopsida,terrestrial
Campanula cochleariifolia,Campanula,Campanulaceae,Asterales,Magnoliopsida,terrestrial
Campanula excisa,Campanula,Campanulaceae,Asterales,Magnoliopsida,terrestrial
Campanula glomerata,Campanula,Campanulaceae,Asterales,Magnoliopsida,terrestrial
Campanula glomerata farinosa,Campanula,Campanulaceae,Asterales,Magnoliopsida,terrestrial
Campanula latifolia,Campanula,Campanulaceae,Asterales,Magnoliopsida,terrestrial
Campanula patula,Campanula,Campanulaceae,Asterales,Magnoliopsida,terrestrial
Campanula patula costae,Campanula,Campanulaceae,Asterales,Magnoliopsida,terrestrial
Campanula persicifolia,Campanula,Campanulaceae,Asterales,Magnoliopsida,terrestrial
Campanula poscharskyana,Campanula,Campanulaceae,Asterales,Magnoliopsida,terrestrial
Campanula rapunculoides,Campanula,Campanulaceae,Asterales,Magnoliopsida,terrestrial
Campanula rapunculus,Campanula,Campanulaceae,Asterales,Magnoliopsida,terrestrial
Campanula rhomboidalis,Campanula,Campanulaceae,Asterales,Magnoliopsida,terrestrial
Campanula rotundifolia,Campanula,Campanulaceae,Asterales,Magnoliopsida,terrestrial
Campanula scheuchzeri,Campanula,Campanulaceae,Asterales,Magnoliopsida,terrestrial
Campanula spicata,Campanula,Campanulaceae,Asterales,Magnoliopsida,terrestrial
Campanula thyrsoides,Campanula,Campanulaceae,Asterales,Magnoliopsida,terrestrial
Campanula trachelium,Campanula,Campanulaceae,Asterales,Magnoliopsida,terrestrial
Campyliadelphus chrysophyllus,Campylium,Amblystegiaceae,Hypnales,Bryopsida,terrestrial
Campylium stellatum,Campylium,Amblystegiaceae,Hypnales,Bryopsida,terrestrial
Campylium stellatum protensum,Campylium,Amblystegiaceae,Hypnales,Bryopsida,terrestrial
Campylium stellatum stellatum,Campylium,Amblystegiaceae,Hypnales,Bryopsida,terrestrial
Campylophyllum calcareum,Campylophyllopsis,Amblystegiaceae,Hypnales,Bryopsida,terrestrial
Campylophyllum halleri,Campylophyllum,Amblystegiaceae,Hypnales,Bryopsida,terrestrial
Campylopus atrovirens,Campylopus,Leucobryaceae,Dicranales,Bryopsida,terrestrial
Campylopus flexuosus,Campylopus,Leucobryaceae,Dicranales,Bryopsida,terrestrial
Campylopus fragilis,Campylopus,Leucobryaceae,Dicranales,Bryopsida,terrestrial
Campylopus gracilis,Campylopus,Leucobryaceae,Dicranales,Bryopsida,terrestrial
Campylopus introflexus,Campylopus,Leucobryaceae,Dicranales,Bryopsida,terrestrial
Campylopus pyriformis,Campylopus,Leucobryaceae,Dicranales,Bryopsida,terrestrial
Candelaria concolor,Candelaria,Candelariaceae,Candelariales,Candelariomycetes,terrestrial
Candelariella reflexa,Candelariella,Candelariaceae,Candelariales,Candelariomycetes,terrestrial
Candelariella vitellina,Candelariella,Candelariaceae,Candelariales,Candelariomycetes,terrestrial
Candelariella xanthostigma,Candelariella,Candelariaceae,Candelariales,Candelariomycetes,terrestrial
Candidula unifasciata unifasciata,Candidula,Geomitridae,Stylommatophora,Gastropoda,terrestrial
Canis lupus,Canis,Canidae,Carnivora,Mammalia,terrestrial
Cannabis sativa,Cannabis,Cannabaceae,Rosales,Magnoliopsida,terrestrial
Cantharellus amethysteus,Cantharellus,Hydnaceae,Cantharellales,Agaricomycetes,terrestrial
Cantharellus cibarius,Cantharellus,Hydnaceae,Cantharellales,Agaricomycetes,terrestrial
Cantharellus cinereus,Cantharellus,Hydnaceae,Cantharellales,Agaricomycetes,terrestrial
Cantharellus friesii,Cantharellus,Hydnaceae,Cantharellales,Agaricomycetes,terrestrial
Cantharellus melanoxeros,Cantharellus,Hydnaceae,Cantharellales,Agaricomycetes,terrestrial
Cantharellus tubaeformis,Cantharellus,Hydnaceae,Cantharellales,Agaricomycetes,terrestrial
